Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.989606,0.992617,0.489437,0.991109,43,9,64274167,57017342.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.5617103984450924,11139,.,.,6372.000000,4085.000000,,1.5598531211750306,117,.,.,56.000000,31.000000,,1.8064516129032258,22816,.,.,15481.000000,6799.000000,,2.2769524930136784,11563,.,.,7249.000000,4084.000000,,1.774975514201763,86,.,.,69.000000,17.000000,,4.0588235294117645,11167,.,.,8163.000000,2698.000000,,3.025574499629355
INDEL,*,*,PASS,*,QUAL,*,0.9894280000000001,0.994409,0.46086099999999997,0.9919120000000001,43,7,64274167,57017342.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.5617103984450924,11137,.,.,6370.000000,4085.000000,,1.5593635250917992,119,.,.,58.000000,31.000000,,1.8709677419354838,21564,.,.,14232.000000,6796.000000,,2.094173042966451,11561,.,.,7247.000000,4084.000000,,1.7744857982370226,65,.,.,48.000000,17.000000,,2.823529411764706,9938,.,.,6937.000000,2695.000000,,2.574025974025974
INDEL,*,TS_contained,ALL,*,QUAL,*,0.989606,0.992617,0.0,0.991109,43,9,57017342.000000,57017342.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.5617103984450924,11139,.,.,6372.000000,4085.000000,,1.5598531211750306,117,.,.,56.000000,31.000000,,1.8064516129032258,11649,.,.,7318.000000,4101.000000,,1.7844428188246768,11563,.,.,7249.000000,4084.000000,,1.774975514201763,86,.,.,69.000000,17.000000,,4.0588235294117645,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.9894280000000001,0.994409,0.0,0.9919120000000001,43,7,57017342.000000,57017342.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.5617103984450924,11137,.,.,6370.000000,4085.000000,,1.5593635250917992,119,.,.,58.000000,31.000000,,1.8709677419354838,11626,.,.,7295.000000,4101.000000,,1.7788344306266763,11561,.,.,7247.000000,4084.000000,,1.7744857982370226,65,.,.,48.000000,17.000000,,2.823529411764706,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,57017342.000000,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,57017342.000000,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,57017342.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
