variant_type,indel_size_stratum,filter,truth_total,truth_tp,truth_fn,query_fp,metric_recall,metric_precision,metric_f1_score
INDEL,*,ALL,11256,11139,117,86,0.989606,0.992617,0.991109
INDEL,*,PASS,11256,11137,119,65,0.9894280000000001,0.994409,0.9919120000000001
INDEL,C16_PLUS,ALL,0,0,0,0,0.0,0.0,
INDEL,C16_PLUS,PASS,0,0,0,0,0.0,0.0,
INDEL,C1_5,ALL,0,0,0,0,0.0,0.0,
INDEL,C1_5,PASS,0,0,0,0,0.0,0.0,
INDEL,C6_15,ALL,0,0,0,0,0.0,0.0,
INDEL,C6_15,PASS,0,0,0,0,0.0,0.0,
INDEL,D16_PLUS,ALL,163,160,3,2,0.9815950000000001,0.9877299999999999,0.9846530000000001
INDEL,D16_PLUS,PASS,163,160,3,2,0.9815950000000001,0.9877299999999999,0.9846530000000001
INDEL,D1_5,ALL,5091,5050,41,34,0.9919469999999999,0.993453,0.992699
INDEL,D1_5,PASS,5091,5049,42,23,0.99175,0.995561,0.9936520000000001
INDEL,D6_15,ALL,667,657,10,8,0.985007,0.9881479999999999,0.986575
INDEL,D6_15,PASS,667,657,10,8,0.985007,0.9881479999999999,0.986575
INDEL,I16_PLUS,ALL,138,127,11,1,0.9202899999999999,0.992188,0.954887
INDEL,I16_PLUS,PASS,138,127,11,1,0.9202899999999999,0.992188,0.954887
INDEL,I1_5,ALL,5027,4968,59,37,0.9882629999999999,0.992609,0.990431
INDEL,I1_5,PASS,5027,4967,60,28,0.9880639999999999,0.994396,0.9912200000000001
INDEL,I6_15,ALL,580,566,14,4,0.9758620000000001,0.9929819999999999,0.984348
INDEL,I6_15,PASS,580,566,14,3,0.9758620000000001,0.9947280000000001,0.9852049999999999
SNP,*,ALL,71333,70903,430,513,0.993972,0.99282,0.993395
SNP,*,PASS,71333,70903,430,511,0.993972,0.9928469999999999,0.993409
