variant_type,qual_threshold,truth_total,truth_tp,truth_fn,query_fp,metric_recall,metric_precision,metric_f1_score
SNP,0.000000,71333,70903,430,511,0.993972,0.9928469999999999,0.993409
SNP,100.379997,71333,70744,589,356,0.991743,0.9949950000000001,0.993366
SNP,100.959999,71333,70742,591,352,0.991715,0.995051,0.9933799999999999
SNP,1000.640015,71333,19161,52172,29,0.268613,0.998489,0.42333999999999994
SNP,1001.640015,71333,19125,52208,29,0.26810900000000004,0.9984870000000001,0.422713
SNP,1002.640015,71333,19091,52242,29,0.26763200000000004,0.998484,0.42212
SNP,1003.640015,71333,19038,52295,29,0.266889,0.9984799999999999,0.421195
SNP,10036.599609,71333,0,71333,0,0.0,,
SNP,1004.640015,71333,18999,52334,29,0.266342,0.9984770000000001,0.420513
SNP,1005.640015,71333,18967,52366,29,0.265894,0.998474,0.419954
SNP,1006.640015,71333,18930,52403,29,0.265375,0.9984709999999999,0.41930600000000007
SNP,1007.640015,71333,18885,52448,29,0.264744,0.998467,0.41851800000000006
SNP,10078.599609,71333,0,71333,0,0.0,,
SNP,1008.640015,71333,18841,52492,29,0.264127,0.9984639999999999,0.41774700000000003
SNP,1009.640015,71333,18809,52524,29,0.263679,0.998461,0.41718500000000003
SNP,101.639999,71333,70742,591,352,0.991715,0.995051,0.9933799999999999
SNP,1010.640015,71333,18768,52565,28,0.263104,0.998511,0.41647
SNP,1011.640015,71333,18733,52600,28,0.262613,0.998508,0.41585500000000003
SNP,1012.640015,71333,18686,52647,28,0.261954,0.9985040000000001,0.41502799999999995
SNP,1013.640015,71333,18650,52683,28,0.26145,0.998502,0.414394
SNP,1014.640015,71333,18605,52728,28,0.260819,0.998498,0.413601
SNP,1015.640015,71333,18573,52760,28,0.26037,0.998495,0.41303599999999996
SNP,10156.000000,71333,0,71333,0,0.0,,
SNP,1016.640015,71333,18534,52799,28,0.259824,0.998492,0.41234799999999994
SNP,1017.640015,71333,18496,52837,28,0.259291,0.998489,0.41167600000000004
SNP,10173.599609,71333,0,71333,0,0.0,,
SNP,1018.530029,71333,18465,52868,28,0.258856,0.9984870000000001,0.411128
SNP,10180.599609,71333,0,71333,0,0.0,,
SNP,1019.059998,71333,18458,52875,28,0.258758,0.9984860000000001,0.411004
SNP,1019.640015,71333,18423,52910,28,0.258268,0.998483,0.41038500000000006
SNP,10190.599609,71333,0,71333,0,0.0,,
SNP,102.639999,71333,70737,596,351,0.9916450000000001,0.995065,0.993352
SNP,1020.640015,71333,18383,52950,28,0.257707,0.9984799999999999,0.40967600000000004
SNP,1021.640015,71333,18341,52992,28,0.25711799999999996,0.998476,0.408932
SNP,10210.599609,71333,0,71333,0,0.0,,
SNP,10215.599609,71333,0,71333,0,0.0,,
SNP,1022.640015,71333,18315,53018,28,0.256754,0.998474,0.40847100000000003
SNP,1023.640015,71333,18259,53074,28,0.255968,0.9984700000000001,0.407476
SNP,10236.599609,71333,0,71333,0,0.0,,
SNP,1024.640015,71333,18239,53094,28,0.255688,0.998468,0.407121
SNP,1025.640015,71333,18192,53141,28,0.255029,0.9984639999999999,0.406285
SNP,1026.640015,71333,18161,53172,28,0.25459499999999996,0.998461,0.405733
SNP,1027.640015,71333,18120,53213,28,0.25401999999999997,0.998458,0.405002
SNP,1028.640015,71333,18083,53250,28,0.25350100000000003,0.998455,0.40434200000000003
SNP,1029.640015,71333,18045,53288,28,0.25296799999999997,0.998451,0.40366399999999997
SNP,103.260002,71333,70731,602,349,0.991561,0.995092,0.993323
SNP,1030.640015,71333,18006,53327,28,0.252422,0.998448,0.402968
SNP,10309.599609,71333,0,71333,0,0.0,,
SNP,1031.640015,71333,17968,53365,28,0.251889,0.998445,0.40228800000000003
SNP,10318.599609,71333,0,71333,0,0.0,,
SNP,1032.640015,71333,17928,53405,28,0.251328,0.998441,0.401572
SNP,1033.640015,71333,17883,53450,28,0.250697,0.9984370000000001,0.400766
SNP,1034.640015,71333,17845,53488,28,0.250165,0.998434,0.40008499999999997
SNP,10341.099609,71333,0,71333,0,0.0,,
SNP,1035.640015,71333,17798,53535,26,0.249506,0.998542,0.399251
SNP,1036.640015,71333,17758,53575,26,0.24894499999999997,0.998539,0.398532
SNP,10367.599609,71333,0,71333,0,0.0,,
SNP,1037.640015,71333,17718,53615,26,0.24838400000000002,0.9985350000000001,0.397813
SNP,10371.599609,71333,0,71333,0,0.0,,
SNP,1038.640015,71333,17678,53655,26,0.247824,0.998532,0.397093
SNP,1039.640015,71333,17642,53691,25,0.247319,0.9985850000000001,0.396449
SNP,104.040001,71333,70722,611,343,0.9914350000000001,0.995175,0.993301
SNP,104.639999,71333,70722,611,343,0.9914350000000001,0.995175,0.993301
SNP,1040.640015,71333,17596,53737,25,0.24667399999999998,0.998582,0.39561999999999997
SNP,1041.640015,71333,17555,53778,25,0.24609899999999998,0.9985780000000001,0.39488
SNP,1042.640015,71333,17501,53832,25,0.245342,0.998574,0.393905
SNP,1043.640015,71333,17453,53880,25,0.244669,0.9985700000000001,0.39303699999999997
SNP,1044.640015,71333,17424,53909,25,0.244263,0.998568,0.39251199999999997
