Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,11256,11139,117,22816,86,11167,43,9,0.989606,0.992617,0.489437,0.991109,,,1.5617103984450924,2.2769524930136784
INDEL,PASS,11256,11137,119,21564,65,9938,43,7,0.9894280000000001,0.994409,0.46086099999999997,0.9919120000000001,,,1.5617103984450924,2.094173042966451
SNP,ALL,71333,70903,430,110272,513,38827,44,28,0.993972,0.99282,0.35210199999999997,0.993395,2.314904292882364,1.8671101525348854,1.71597790896972,2.6936976198457927
SNP,PASS,71333,70903,430,108497,511,37054,44,28,0.993972,0.9928469999999999,0.341521,0.993409,2.314904292882364,1.886206529830905,1.71597790896972,2.6387192052091026
